AF,39074280
AL,2877239
DZ,43984569
AS,55169
AD,77287
AO,33032075
AI,15026
AG,98069
AR,45267449
AM,2964219
AW,106845
AU,25550683
AT,9015361
AZ,10154978
BS,393893
BH,1711057
BD,164972348
BB,287437
BY,9448772
BE,11598451
BZ,398845
BJ,12175480
BM,62237
BT,773069
BO,11700207
BA,3277152
BW,2359585
BR,212821986
VG,30266
BN,438202
BG,6939018
BF,20997293
BI,11948454
CV,557026
KH,16758448
CM,26655083
CA,37799407
KY,65854
CF,4843954
TD,16502877
CL,19144605
CN,1440297825
CO,50976248
KM,872695
CD,5540555
CK,17567
CR,5102158
CI,26486282
HR,4100719
CU,11325391
CW,164211
CY,1208886
CZ,10712481
DK,5795780
DJ,990447
DM,72017
DO,10866667
CD,90003954
EC,17688599
EG,102659126
SV,6491923
GQ,1410419
ER,3554797
EE,1326693
ET,115434444
FO,48896
FK,3497
FJ,897573
FI,5542237
FR,65298930
GF,299958
PF,281191
GA,2234448
GM,2427782
GE,3987805
DE,83830972
GH,31181428
GI,33689
GR,10413936
GL,56787
GD,112614
GP,400136
GU,169031
GT,17971382
GN,13191279
GW,1975718
GY,787215
HT,11426356
HN,9931333
HK,7507523
HU,9655983
IS,341628
IN,1382345085
ID,274021604
IR,84176929
IQ,40372771
IE,4947267
IM,85112
IL,8678517
IT,60446035
JM,2963429
JP,126407422
JO,10220604
KZ,18815231
KE,53968739
KI,119760
KW,4281320
KG,6542426
LA,7293542
LV,1882408
LB,6819976
LS,2145194
LR,5077411
LY,6887247
LI,38147
LT,2715340
LU,627704
MO,650846
MG,27808395
MW,19211425
MY,32436963
MV,542151
ML,20346106
MT,441750
MH,59259
MQ,375213
MR,4669775
MU,1272140
YT,273905
MX,129166028
FM,115231
MD,4032294
MC,39290
MN,3287242
ME,628080
MS,4993
MA,36985624
MZ,31398811
MM,54473253
NA,2548663
NR,10836
NP,29225196
NL,17141544
NC,285972
NZ,4829021
NI,6638075
NE,24346468
NG,206984347
NU,1628
KP,25798588
MK,2083359
MP,57619
NO,5428594
OM,5128058
PK,221612785
PW,18109
PA,4326296
PG,8975531
PY,7147553
PE,33050211
PH,109830324
PL,37839255
PT,10191409
PR,2846860
QA,2889284
RE,896422
RO,19214608
RU,145945524
RW,13005303
BL,9882
SH,6080
KN,53264
SL,183774
MF,38778
PM,5789
WS,198643
SM,33944
ST,219844
SA,34905942
SN,16816539
RS,8731081
SC,98453
SL,8004158
SG,5858322
SX,42960
SK,5460109
SI,2078989
SB,689671
SO,15965848
ZA,59436725
KR,51276977
SS,11216250
ES,46757980
LK,21428970
VC,111002
PS,5121112
SD,44019263
SR,587541
SE,10110233
CH,8665615
SY,17571053
TW,23824369
TJ,9573310
TZ,60012400
TH,69830779
TL,1322667
TG,8310934
TK,1360
TO,105901
TT,1400283
TN,11839918
TR,84495243
TM,6046292
TC,38806
TV,11817
VI,104398
UG,45974931
UA,43686577
AE,9910892
GB,67948282
US,331341050
UY,3475842
UZ,33551824
VU,308337
VE,28421581
VN,97490013
WF,11203
EH,599769
YE,29935468
ZM,18468257
ZW,14899771
